City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kodiak,57.79,-152.4072,0.73,60,75,3.6,US,1699653130
83,murray bridge,-35.1167,139.2667,17.29,59,95,8.3,AU,1699653676
84,malvan,16.0667,73.4667,26.64,72,35,2.63,IN,1699653107
85,yanda bayo,11.5071,10.7459,27.06,21,100,3.25,NG,1699653676
86,nueve de julio,-35.4444,-60.8831,14.42,99,100,0.89,AR,1699653677
87,yurga,55.7231,84.8861,0.86,98,100,2.7,RU,1699653677
88,nagqu,31.5,92.0,-5.33,78,98,1.43,CN,1699653677
89,jayapura,-2.5333,140.7,27.66,88,100,1.65,ID,1699653677
90,massawa,15.6097,39.45,28.44,67,85,1.03,ER,1699653678
91,maydolong,11.4992,125.5011,26.77,76,46,1.4,PH,1699653678
92,west island,-12.1568,96.8225,25.99,89,40,5.14,CC,1699653038
93,georgetown,5.4112,100.3354,27.23,95,20,2.06,MY,1699653180
94,tsiombe,-25.3,45.4833,20.87,61,88,3.52,MG,1699653246
95,alofi,-19.0595,-169.9187,26.94,83,75,2.57,NU,1699653250
96,thompson,55.7435,-97.8558,-0.91,80,100,2.57,CA,1699653142
97,timbuktu,16.7735,-3.0074,27.69,15,60,4.16,ML,1699653178
98,wailua homesteads,22.0669,-159.378,27.44,74,40,6.69,US,1699653160
99,darby,39.9184,-75.2591,8.91,86,75,5.66,US,1699653536
100,blagoevgrad,42.0167,23.1,12.39,83,85,4.02,BG,1699653680
101,talnakh,69.4865,88.3972,-7.66,95,100,6.05,RU,1699653133
102,mejit,10.2753,170.8646,27.72,85,100,9.37,MH,1699653681
103,san patricio,28.017,-97.5169,16.58,94,100,4.55,US,1699653185
104,punta arenas,-53.15,-70.9167,15.01,54,0,5.14,CL,1699653121
105,st. john's,47.5649,-52.7093,3.42,90,75,10.29,CA,1699653085
106,qaqortoq,60.7167,-46.0333,-7.48,61,78,4.68,GL,1699653132
107,kilju,40.9642,129.3278,-3.03,33,12,1.14,KP,1699653682
108,ketchikan,55.3422,-131.6461,7.97,93,100,6.17,US,1699653110
109,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,98,75,1.79,RU,1699653123
110,ribeira brava,32.65,-17.0667,21.51,79,43,1.27,PT,1699653682
111,morehead city,34.7229,-76.726,18.02,83,100,6.71,US,1699653485
112,longyearbyen,78.2186,15.6401,-10.09,79,75,0.51,SJ,1699653137
113,altay,47.8667,88.1167,-1.41,79,100,1.69,CN,1699653683
114,fortuna foothills,32.6578,-114.4119,24.71,10,10,1.34,US,1699653683
115,lethem,3.3803,-59.7968,35.03,49,20,6.17,GY,1699653684
116,guymon,36.6828,-101.4816,14.0,21,100,5.14,US,1699653684
117,tazacorte,28.629,-17.9293,20.54,78,20,4.12,ES,1699653125
118,yambio,4.5721,28.3955,21.12,94,100,0.74,SS,1699653685
119,tamanrasset,22.785,5.5228,20.17,13,4,1.04,DZ,1699653539
120,udachny,66.4167,112.4,-8.08,72,78,3.14,RU,1699653112
121,college,64.8569,-147.8028,-6.42,90,100,1.54,US,1699653117
122,fisterra,42.9049,-9.2629,17.64,97,100,10.31,ES,1699653237
123,dire,12.2833,-10.9667,24.6,38,96,0.75,ML,1699653686
124,cabo san lucas,22.8909,-109.9124,31.45,67,8,3.99,MX,1699653400
125,mar del plata,-38.0023,-57.5575,17.27,82,75,11.18,AR,1699653003
126,yuzhno-kurilsk,44.0306,145.8556,5.76,88,94,8.13,RU,1699653255
127,isafjordur,66.0755,-23.124,1.29,84,98,2.62,IS,1699653140
128,taoudenni,22.6783,-3.9836,25.53,14,0,4.09,ML,1699653125
129,chonchi,-42.6128,-73.8092,11.18,71,100,5.29,CL,1699652861
130,fale old settlement,-9.3852,-171.2468,28.51,79,41,4.85,TK,1699653041
131,east london,-33.0153,27.9116,19.98,90,39,5.85,ZA,1699653142
132,karratha,-20.7377,116.8463,23.9,45,1,5.5,AU,1699653045
133,strezhevoy,60.7333,77.5889,-8.35,97,100,1.34,RU,1699653689
134,belfast,54.5833,-5.9333,6.9,83,20,2.06,GB,1699653689
135,chokwe,-24.5333,32.9833,20.42,72,0,3.77,MZ,1699653689
136,ust-nera,64.5667,143.2,-32.04,97,55,1.34,RU,1699652871
137,yellowknife,62.456,-114.3525,3.09,97,75,3.6,CA,1699653122
138,luganville,-15.5333,167.1667,26.14,83,100,6.52,VU,1699653690
139,san luis,-33.295,-66.3356,26.59,48,27,5.93,AR,1699653691
140,opuwo,-18.0607,13.84,22.5,38,11,3.0,NA,1699653691
141,qarqaraly,49.4058,75.4742,1.89,84,100,2.99,KZ,1699653691
142,kiunga,-6.1219,141.2906,23.29,94,97,0.76,PG,1699653116
143,port alfred,-33.5906,26.891,19.78,88,23,4.76,ZA,1699653133
144,whitehorse,60.7161,-135.0538,0.43,86,100,0.0,CA,1699653154
145,keflavik,64.0049,-22.5624,3.24,87,40,4.12,IS,1699653107
146,mount isa,-20.7333,139.5,25.87,83,100,0.0,AU,1699653182
147,dudinka,69.4058,86.1778,-7.4,93,100,12.07,RU,1699653060
148,suzhou,31.3114,120.6181,11.65,73,100,3.99,CN,1699653625
149,east ballina,-28.8667,153.5833,19.33,82,86,0.46,AU,1699653693
150,yangliuqing,39.1375,116.9997,-0.03,32,97,2.52,CN,1699653665
151,vorgashor,67.5833,63.95,-15.91,100,81,1.4,RU,1699653049
152,new norfolk,-42.7826,147.0587,17.73,56,65,3.34,AU,1699653132
153,susuman,62.7833,148.1667,-29.95,99,84,0.26,RU,1699653137
154,pangoa,-12.1167,-73.0,28.51,57,15,1.0,PE,1699653119
155,rushville,39.6092,-85.4464,13.79,45,0,1.34,US,1699653695
156,weining,26.85,104.2333,7.87,90,7,0.89,CN,1699653695
157,saint-leu,-21.15,55.2833,24.98,92,52,2.97,RE,1699653696
158,carrizo springs,28.5219,-99.8606,15.34,88,100,3.09,US,1699653696
159,chu,43.5983,73.7614,4.84,67,17,0.91,KZ,1699653697
160,farias brito,-6.9306,-39.5656,34.38,27,0,1.71,BR,1699653672
161,altamira,-3.2033,-52.2064,33.05,55,20,1.54,BR,1699653688
162,poso,-1.3959,120.7524,25.26,84,45,2.14,ID,1699653697
163,mlalo,-4.9333,38.9333,22.94,92,98,1.81,TZ,1699653698
164,namibe,-15.1961,12.1522,20.36,77,59,1.98,AO,1699653256
165,gaspe,48.8334,-64.4819,2.95,100,100,1.54,CA,1699653698
166,yurty,56.0498,97.6348,-15.23,96,11,1.31,RU,1699653698
167,galliano,29.4422,-90.2992,26.0,78,75,2.06,US,1699653699
168,la mure,44.9026,5.7866,4.54,99,100,1.39,FR,1699653699
169,banamba,13.55,-7.45,26.21,22,79,3.2,ML,1699653699
170,haiku-pauwela,20.9219,-156.3051,29.01,54,20,2.06,US,1699653171
171,sainte-agathe-des-monts,46.0501,-74.2825,3.16,93,99,0.45,CA,1699653408
172,taro,-8.3862,115.28,22.0,91,100,0.34,ID,1699653700
173,rikaze,29.25,88.8833,-1.18,65,0,1.19,CN,1699653508
174,sinop,41.7711,34.8709,11.44,75,90,4.7,TR,1699653700
175,kulhudhuffushi,6.6221,73.07,27.81,79,58,3.82,MV,1699653224
176,ipiales,0.8302,-77.6496,15.43,72,40,6.17,CO,1699653701
177,lihue,21.9789,-159.3672,27.77,66,40,6.69,US,1699653023
178,stanley,54.868,-1.6985,3.07,92,0,3.09,GB,1699653088
179,ad dilam,23.9915,47.1627,21.23,31,100,1.9,SA,1699653702
180,khanty-mansiysk,61.0042,69.0019,-2.94,100,100,2.0,RU,1699653702
181,katsuren-haebaru,26.3369,127.8719,24.01,88,75,3.6,JP,1699653702
182,tucuma,-0.1833,-50.05,27.88,71,10,5.46,BR,1699653227
183,kuanda,56.3161,116.0806,-17.43,94,69,0.35,RU,1699653703
184,queenstown,-31.8976,26.8753,17.83,52,39,1.2,ZA,1699653024
185,la'ie,21.6477,-157.9253,28.98,79,71,2.68,US,1699653703
186,saldanha,-33.0117,17.9442,16.03,92,31,6.9,ZA,1699653704
187,fortuna,40.5982,-124.1573,13.85,92,100,4.63,US,1699653704
188,chuguyevka,44.1653,133.8633,-9.48,91,100,3.94,RU,1699653704
189,cao bang,22.6667,106.25,22.74,95,88,1.21,VN,1699653704
190,fumel,44.4986,0.9651,9.55,90,42,2.39,FR,1699653705
191,santana,-0.0583,-51.1817,31.1,66,20,7.2,BR,1699653705
192,lukolela,-1.0605,17.1821,21.95,99,99,1.42,CD,1699653706
193,aykhal,66.0,111.5,-9.26,56,79,7.19,RU,1699653706
194,loreto,22.2667,-101.9667,23.14,42,100,4.8,MX,1699653155
195,smithers,54.7804,-127.1743,4.18,75,100,5.14,CA,1699653201
196,camana,-16.6228,-72.7111,20.13,87,82,3.24,PE,1699653707
197,okhotsk,59.3833,143.3,-18.22,84,16,9.12,RU,1699653162
198,san andres,12.5847,-81.7006,31.01,79,40,4.63,CO,1699653189
199,bubaque,11.2833,-15.8333,29.01,54,91,4.34,GW,1699653708
200,anaconda,46.1285,-112.9423,4.15,46,86,5.07,US,1699653708
201,papatowai,-46.5619,169.4708,16.17,37,0,0.78,NZ,1699653708
202,ndele,8.4109,20.6473,23.05,88,100,1.11,CF,1699653709
203,tsagan aman,47.5639,46.7218,5.9,76,2,4.11,RU,1699653710
204,porbandar,21.6422,69.6093,27.25,61,48,3.8,IN,1699653710
205,juruti,-2.1522,-56.0922,30.47,46,7,1.78,BR,1699653711
206,hovd,48.0056,91.6419,-4.38,92,100,0.76,MN,1699653711
207,cidade velha,14.9167,-23.6167,25.26,65,40,5.66,CV,1699653711
208,hithadhoo,-0.6,73.0833,26.97,84,100,5.86,MV,1699653183
209,jinchang,38.4953,102.1739,-2.99,44,0,1.23,CN,1699653712
210,quellon,-43.1167,-73.6167,11.83,69,100,7.52,CL,1699653186
211,la ronge,55.1001,-105.2842,0.14,74,20,4.12,CA,1699653090
212,sakakah,29.9697,40.2064,19.76,32,56,2.24,SA,1699653713
213,santa cruz,-17.8,-63.1667,35.7,43,20,9.26,BO,1699652941
214,albu kamal,34.45,40.9186,20.69,32,15,1.03,SY,1699653714
215,chikwawa,-16.0335,34.8009,23.8,80,12,3.04,MW,1699653714
216,waddan,29.1614,16.139,21.95,30,1,3.27,LY,1699653185
217,mocimboa,-11.3167,40.35,24.98,90,48,3.31,MZ,1699653715
218,ende,-8.8432,121.6623,25.52,79,43,0.25,ID,1699653715
219,constitucion,-35.3333,-72.4167,12.85,84,79,6.36,CL,1699653716
220,carora,10.1755,-70.0827,28.99,57,99,6.18,VE,1699653716
221,scottburgh,-30.2867,30.7532,19.62,94,41,6.18,ZA,1699653717
222,ponta delgada,37.7333,-25.6667,22.33,94,75,7.2,PT,1699653658
223,luena,-11.7833,19.9167,21.1,78,0,2.06,AO,1699653717
224,carnarvon,-24.8667,113.6333,20.5,73,100,9.0,AU,1699653717
225,khost,33.3395,69.9204,11.86,68,0,1.02,AF,1699653717
226,hisar,29.1667,75.7167,17.47,64,0,2.53,IN,1699653718
227,olonkinbyen,70.9221,-8.7187,-0.79,84,100,3.93,SJ,1699653024
228,bida,9.0833,6.0167,28.27,38,77,1.05,NG,1699653718
229,majene,-3.5403,118.9707,26.01,87,77,2.25,ID,1699653718
230,aripuana,-9.1667,-60.6333,31.17,45,69,1.4,BR,1699653718
231,greymouth,-42.4667,171.2,12.49,76,1,1.51,NZ,1699653640
232,constantia,44.1833,28.65,14.38,76,100,5.15,RO,1699652900
233,harper,4.375,-7.7169,25.1,90,49,3.43,LR,1699653719
234,kill devil hills,36.0307,-75.676,15.55,65,100,9.77,US,1699653121
235,luanda,-8.8368,13.2343,26.0,83,75,5.14,AO,1699653253
236,kasongo,-4.45,26.6667,20.5,96,100,0.73,CD,1699653720
237,sakiet sidi youssef,36.2229,8.3555,9.76,69,4,1.79,TN,1699653720
238,alcaniz,41.05,-0.1333,12.96,67,14,5.01,ES,1699653720
239,port alberni,49.2413,-124.8028,10.62,94,100,0.89,CA,1699653718
240,ban karon,7.8477,98.2985,29.32,78,100,2.13,TH,1699653721
241,colonia,50.9333,6.95,8.75,87,100,4.12,DE,1699653135
242,pervomayskoye,43.919,46.7102,7.64,55,1,1.5,RU,1699653721
243,kosti,13.1629,32.6635,28.16,55,41,3.12,SD,1699653722
244,verkhnevilyuysk,63.4453,120.3167,-20.17,100,99,1.34,RU,1699653722
245,petauke,-14.2426,31.3253,21.98,67,4,4.97,ZM,1699653722
246,sirte,31.2089,16.5887,22.51,51,0,4.18,LY,1699653723
247,taunggyi,20.7833,97.0333,14.68,96,64,0.61,MM,1699653723
248,nova vicosa,-17.8919,-39.3719,25.39,82,1,6.47,BR,1699653723
249,brookings,44.3114,-96.7984,3.99,69,100,0.0,US,1699653056
250,el calafate,-50.3408,-72.2768,13.24,50,96,4.06,AR,1699653724
251,iskateley,67.6803,53.1512,-8.88,93,69,3.13,RU,1699653169
252,lebu,-37.6167,-73.65,12.08,79,74,8.67,CL,1699653157
253,laojunmiao,39.8333,97.7333,-5.63,40,0,3.29,CN,1699653725
254,moissala,8.3404,17.7663,23.27,89,78,1.72,TD,1699653725
255,tralee,52.2704,-9.7026,7.89,84,100,2.62,IE,1699653230
256,salekhard,66.53,66.6019,-12.59,93,79,0.91,RU,1699653725
257,whangarei,-35.7317,174.3239,19.95,47,16,0.28,NZ,1699653650
258,ugoofaaru,5.6667,73.0,27.63,78,71,2.22,MV,1699653194
259,lata,40.1629,-8.3327,17.26,97,100,3.29,PT,1699653221
260,bafra,41.5678,35.9069,16.51,79,85,4.46,TR,1699653726
261,huambo,-12.7761,15.7392,15.89,94,100,2.06,AO,1699653727
262,montepuez,-13.1256,38.9997,22.65,84,43,2.99,MZ,1699653727
263,pacific grove,36.6177,-121.9166,22.99,54,0,1.34,US,1699652968
264,san fernando de apure,7.8878,-67.4724,27.8,78,99,2.2,VE,1699653727
265,sarangani,5.4033,125.4636,28.79,75,100,7.21,PH,1699653728
266,broken hill,-31.95,141.4333,29.08,25,44,5.21,AU,1699653479
267,kavaratti,10.5669,72.642,27.82,78,59,3.18,IN,1699653728
268,hadibu,12.65,54.0333,26.81,80,90,5.22,YE,1699653093
269,greenland,43.0362,-70.8328,9.36,71,100,0.45,US,1699653729
270,ambodifotatra,-16.9833,49.85,25.25,82,96,3.38,MG,1699653729
271,ocean city,39.2776,-74.5746,8.01,89,100,2.24,US,1699653625
272,puerto yuca,2.9383,-73.2083,25.71,93,94,0.74,CO,1699653729
273,toamasina,-18.1667,49.3833,23.0,94,75,1.54,MG,1699653730
274,san fernando,15.0286,120.6898,25.85,88,99,1.85,PH,1699653730
275,tidjikja,18.5564,-11.4271,24.33,12,0,4.81,MR,1699653730
276,holualoa,19.6228,-155.9522,28.08,66,51,1.34,US,1699653730
277,arraial do cabo,-22.9661,-42.0278,23.98,88,20,4.12,BR,1699653731
278,robore,-18.3333,-59.75,40.05,35,20,7.72,BO,1699653731
